symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLU,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,42.78,42.3,43.74,2026-01-15T00:00:00-05:00,43.74,TP hit,2.0,win
XLU,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,43.33,42.42,45.15,2026-01-22T00:00:00-05:00,42.715,time stop loss,-0.6758,loss
XLU,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,43.19,42.78,44.01,2026-01-21T00:00:00-05:00,42.78,SL hit,-1.0,loss
XLU,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,42.82,42.31,43.84,2026-02-02T00:00:00-05:00,42.605,time stop loss,-0.4216,loss
XLU,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,43.47,42.745,44.92,2026-02-02T00:00:00-05:00,42.745,SL hit,-1.0,loss
XLU,PrevDayBreakout_D1,2026-02-10T00:00:00-05:00,2026-02-11T00:00:00-05:00,44.38,43.06,47.02,2026-02-17T00:00:00-05:00,47.02,TP hit,2.0,win
XLU,PrevDayBreakout_D1,2026-02-11T00:00:00-05:00,2026-02-12T00:00:00-05:00,44.75,43.555,47.14,2026-02-19T00:00:00-05:00,46.12,time stop win,1.1464,win
XLU,PrevDayBreakout_D1,2026-02-12T00:00:00-05:00,2026-02-13T00:00:00-05:00,45.22,44.135,47.39,2026-02-20T00:00:00-05:00,46.34,time stop win,1.0323,win
XLU,PrevDayBreakout_D1,2026-02-13T00:00:00-05:00,2026-02-17T00:00:00-05:00,46.795,44.75,50.885,2026-02-23T00:00:00-05:00,46.68,time stop loss,-0.0562,loss
XLU,PrevDayBreakout_D1,2026-02-20T00:00:00-05:00,2026-02-23T00:00:00-05:00,46.43,45.685,47.92,2026-02-26T00:00:00-05:00,47.16,time stop win,0.9799,win
XLU,PrevDayBreakout_D1,2026-02-23T00:00:00-05:00,2026-02-24T00:00:00-05:00,46.63,45.9,48.09,2026-02-26T00:00:00-05:00,47.16,time stop win,0.726,win
XLU,PrevDayBreakout_D1,2026-02-24T00:00:00-05:00,2026-02-25T00:00:00-05:00,47.21,46.375,48.88,2026-02-26T00:00:00-05:00,47.16,time stop loss,-0.0599,loss
XLU,PrevDayBreakout_D1,2026-02-25T00:00:00-05:00,2026-02-26T00:00:00-05:00,47.315,46.29,49.365,2026-02-26T00:00:00-05:00,47.16,time stop loss,-0.1512,loss
