symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWM,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,239.595,237.615,243.555,2025-10-02T00:00:00-04:00,243.555,TP hit,2.0,win
IWM,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,245.29,243.21,249.45,2025-10-10T00:00:00-04:00,243.21,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,241.825,237.61,250.255,2025-10-15T00:00:00-04:00,250.255,TP hit,2.0,win
IWM,MeanReversion_D1,2025-10-17T00:00:00-04:00,2025-10-20T00:00:00-04:00,246.635,241.5,256.905,2025-10-22T00:00:00-04:00,241.5,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,244.24,240.82,251.08,2025-10-24T00:00:00-04:00,251.08,TP hit,2.0,win
IWM,MeanReversion_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,248.81,248.14,250.15,2025-10-29T00:00:00-04:00,248.14,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,245.27,244.705,246.4,2025-10-30T00:00:00-04:00,244.705,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,241.95,241.0,243.85,2025-11-05T00:00:00-05:00,243.85,TP hit,2.0,win
IWM,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,229.925,228.9,231.975,2025-11-21T00:00:00-05:00,231.975,TP hit,2.0,win
IWM,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,247.335,245.335,251.335,2025-12-02T00:00:00-05:00,245.335,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,245.9,245.125,247.45,2025-12-03T00:00:00-05:00,247.45,TP hit,2.0,win
IWM,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,255.53,253.45,259.69,2025-12-15T00:00:00-05:00,253.45,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,250.365,248.48,254.135,2025-12-17T00:00:00-05:00,248.48,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,250.165,246.695,257.105,2025-12-24T00:00:00-05:00,252.685,time stop win,0.7262,win
IWM,MeanReversion_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,251.92,251.48,252.8,2025-12-24T00:00:00-05:00,251.48,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,249.95,249.35,251.15,2025-12-30T00:00:00-05:00,249.35,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,248.17,247.955,248.6,2025-12-31T00:00:00-05:00,247.955,SL hit,-1.0,loss
IWM,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,247.59,246.01,250.75,2026-01-02T00:00:00-05:00,246.01,SL hit,-1.0,loss
IWM,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,264.57,261.09,271.53,2026-01-22T00:00:00-05:00,271.53,TP hit,2.0,win
IWM,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,265.07,264.465,266.28,2026-01-26T00:00:00-05:00,264.465,SL hit,-1.0,loss
IWM,MeanReversion_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,264.03,263.49,265.11,2026-01-27T00:00:00-05:00,263.49,SL hit,-1.0,loss
