symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VOO,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,628.975,620.695,645.535,2025-12-29T00:00:00-05:00,632.6,time stop win,0.4378,win
VOO,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,629.23,623.89,639.91,2025-12-30T00:00:00-05:00,631.69,time stop win,0.4607,win
VOO,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,632.645,627.98,641.975,2025-12-31T00:00:00-05:00,627.98,SL hit,-1.0,loss
VOO,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,635.19,629.23,647.11,2025-12-31T00:00:00-05:00,629.23,SL hit,-1.0,loss
VOO,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,632.645,625.25,647.435,2026-01-12T00:00:00-05:00,639.29,time stop win,0.8986,win
VOO,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,636.6,631.33,647.14,2026-01-13T00:00:00-05:00,637.98,time stop win,0.2619,win
VOO,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,635.24,632.37,640.98,2026-01-14T00:00:00-05:00,632.37,SL hit,-1.0,loss
VOO,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,637.93,631.0,651.79,2026-01-20T00:00:00-05:00,631.0,SL hit,-1.0,loss
VOO,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,634.43,622.255,658.78,2026-01-28T00:00:00-05:00,639.32,time stop win,0.4016,win
VOO,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,632.825,623.67,651.135,2026-01-29T00:00:00-05:00,638.56,time stop win,0.6264,win
VOO,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,638.42,632.09,651.08,2026-01-29T00:00:00-05:00,632.09,SL hit,-1.0,loss
VOO,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,641.05,634.54,654.07,2026-01-29T00:00:00-05:00,634.54,SL hit,-1.0,loss
