symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IGV,PrevDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,117.84,115.72,122.08,2025-09-24T00:00:00-04:00,115.72,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,115.835,112.93,121.645,2025-10-03T00:00:00-04:00,114.88,time stop loss,-0.3287,loss
IGV,PrevDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,115.97,113.69,120.53,2025-10-06T00:00:00-04:00,115.64,time stop loss,-0.1447,loss
IGV,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,115.99,114.245,119.48,2025-10-07T00:00:00-04:00,114.245,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,113.825,111.48,118.515,2025-10-27T00:00:00-04:00,117.06,time stop win,1.3795,win
IGV,PrevDayBreakout_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,114.9,112.98,118.74,2025-10-22T00:00:00-04:00,112.98,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,117.395,113.345,125.495,2025-10-31T00:00:00-04:00,115.54,time stop loss,-0.458,loss
IGV,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,117.575,115.83,121.065,2025-10-29T00:00:00-04:00,115.83,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,111.39,106.88,120.41,2025-11-13T00:00:00-05:00,106.88,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,101.79,98.7,107.97,2025-12-02T00:00:00-05:00,105.21,time stop win,1.1068,win
IGV,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,103.68,100.83,109.38,2025-12-03T00:00:00-05:00,106.7,time stop win,1.0596,win
IGV,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,103.08,102.39,104.46,2025-12-01T00:00:00-05:00,104.46,TP hit,2.0,win
IGV,PrevDayBreakout_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,104.57,102.61,108.49,2025-12-05T00:00:00-05:00,108.49,TP hit,2.0,win
IGV,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,107.315,104.99,111.965,2025-12-10T00:00:00-05:00,110.08,time stop win,1.1892,win
IGV,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,108.54,104.185,117.25,2025-12-11T00:00:00-05:00,109.805,time stop win,0.2905,win
IGV,PrevDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,109.89,106.65,116.37,2025-12-12T00:00:00-05:00,108.03,time stop loss,-0.5741,loss
IGV,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,108.445,105.66,114.015,2025-12-29T00:00:00-05:00,107.38,time stop loss,-0.3824,loss
IGV,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,108.42,106.93,111.4,2025-12-30T00:00:00-05:00,106.95,time stop loss,-0.9866,loss
IGV,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,105.24,103.005,109.71,2026-01-13T00:00:00-05:00,103.005,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,105.64,103.36,110.2,2026-01-13T00:00:00-05:00,103.36,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,104.97,103.56,107.79,2026-01-13T00:00:00-05:00,103.56,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,96.835,94.23,102.045,2026-01-29T00:00:00-05:00,94.23,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,97.93,95.825,102.14,2026-01-29T00:00:00-05:00,95.825,SL hit,-1.0,loss
IGV,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,99.12,96.79,103.78,2026-01-29T00:00:00-05:00,96.79,SL hit,-1.0,loss
