symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
MDY,TwoDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,601.7,590.83,623.44,2025-10-09T00:00:00-04:00,594.4,time stop loss,-0.6716,loss
MDY,TwoDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,603.83,594.72,622.05,2025-10-07T00:00:00-04:00,594.72,SL hit,-1.0,loss
MDY,TwoDayBreakout_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,598.6,585.01,625.78,2025-10-28T00:00:00-04:00,599.55,time stop win,0.0699,win
MDY,TwoDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,605.73,589.4,638.39,2025-10-30T00:00:00-04:00,589.4,SL hit,-1.0,loss
MDY,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,595.895,581.995,623.695,2025-11-14T00:00:00-05:00,581.995,SL hit,-1.0,loss
MDY,TwoDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,595.505,591.49,603.535,2025-11-13T00:00:00-05:00,591.49,SL hit,-1.0,loss
MDY,TwoDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,588.18,568.26,628.02,2025-12-02T00:00:00-05:00,599.99,time stop win,0.5929,win
MDY,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,598.12,570.91,652.54,2025-12-03T00:00:00-05:00,604.17,time stop win,0.2223,win
MDY,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,604.12,581.865,648.63,2025-12-04T00:00:00-05:00,607.15,time stop win,0.1361,win
MDY,TwoDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,607.43,599.66,622.97,2025-12-11T00:00:00-05:00,620.96,time stop win,1.7413,win
MDY,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,615.62,602.775,641.31,2025-12-17T00:00:00-05:00,605.51,time stop loss,-0.7871,loss
MDY,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,622.2,602.775,661.05,2025-12-18T00:00:00-05:00,608.13,time stop loss,-0.7243,loss
MDY,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,615.88,606.56,634.52,2025-12-30T00:00:00-05:00,609.61,time stop loss,-0.6727,loss
MDY,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,618.28,603.035,648.77,2026-01-12T00:00:00-05:00,632.39,time stop win,0.9255,win
MDY,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,628.02,603.45,677.16,2026-01-13T00:00:00-05:00,633.65,time stop win,0.2291,win
MDY,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,627.23,621.715,638.26,2026-01-15T00:00:00-05:00,638.26,TP hit,2.0,win
MDY,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,633.63,621.715,657.46,2026-01-20T00:00:00-05:00,630.95,time stop loss,-0.2249,loss
MDY,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,634.155,626.48,649.505,2026-01-21T00:00:00-05:00,642.305,time stop win,1.0619,win
MDY,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,641.53,630.97,662.65,2026-01-20T00:00:00-05:00,630.97,SL hit,-1.0,loss
