symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VUG,MeanReversion_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,480.15,478.13,484.19,2025-09-24T00:00:00-04:00,478.13,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,475.09,470.43,484.41,2025-10-02T00:00:00-04:00,483.11,time stop win,1.721,win
VUG,MeanReversion_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,483.34,479.84,490.34,2025-10-10T00:00:00-04:00,479.84,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,483.445,481.14,488.055,2025-10-10T00:00:00-04:00,481.14,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,477.475,470.54,491.345,2025-10-14T00:00:00-04:00,470.54,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,479.865,470.16,499.275,2025-10-21T00:00:00-04:00,484.56,time stop win,0.4838,win
VUG,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,481.0,476.88,489.24,2025-10-24T00:00:00-04:00,489.24,TP hit,2.0,win
VUG,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,501.83,496.435,512.62,2025-11-04T00:00:00-05:00,496.435,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,492.46,492.42,492.54,2025-11-05T00:00:00-05:00,492.42,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,491.84,475.895,523.73,2025-11-14T00:00:00-05:00,475.895,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,474.21,470.82,480.99,2025-11-20T00:00:00-05:00,470.82,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,468.31,466.76,471.41,2025-11-21T00:00:00-05:00,466.76,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,487.68,483.2,496.64,2025-12-15T00:00:00-05:00,483.2,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-12-15T00:00:00-05:00,2025-12-16T00:00:00-05:00,482.305,482.0,482.915,2025-12-16T00:00:00-05:00,482.0,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,482.27,475.5,495.81,2025-12-24T00:00:00-05:00,494.98,time stop win,1.8774,win
VUG,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,491.925,491.12,493.535,2025-12-31T00:00:00-05:00,491.12,SL hit,-1.0,loss
VUG,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,491.965,487.98,499.935,2026-01-02T00:00:00-05:00,487.98,SL hit,-1.0,loss
VUG,MeanReversion_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,489.675,483.79,501.445,2026-01-09T00:00:00-05:00,491.2,time stop win,0.2591,win
VUG,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,489.7,486.375,496.35,2026-01-14T00:00:00-05:00,486.375,SL hit,-1.0,loss
VUG,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,489.0,481.56,503.88,2026-01-20T00:00:00-05:00,481.56,SL hit,-1.0,loss
VUG,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,473.55,471.72,477.21,2026-01-21T00:00:00-05:00,471.72,SL hit,-1.0,loss
VUG,MeanReversion_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,483.135,476.0,497.405,2026-01-30T00:00:00-05:00,481.75,time stop loss,-0.1941,loss
