symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
ARKK,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,82.05,77.4,91.35,2025-11-13T00:00:00-05:00,77.4,SL hit,-1.0,loss
ARKK,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,75.92,70.45,86.86,2025-12-02T00:00:00-05:00,78.205,time stop win,0.4177,win
ARKK,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,77.98,74.08,85.78,2025-12-03T00:00:00-05:00,80.75,time stop win,0.7103,win
ARKK,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,79.175,74.75,88.025,2025-12-04T00:00:00-05:00,82.725,time stop win,0.8023,win
ARKK,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,77.85,77.47,78.61,2025-12-01T00:00:00-05:00,77.47,SL hit,-1.0,loss
ARKK,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,80.775,78.06,86.205,2025-12-10T00:00:00-05:00,83.13,time stop win,0.8674,win
ARKK,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,82.32,78.12,90.72,2025-12-11T00:00:00-05:00,82.17,time stop loss,-0.0357,loss
ARKK,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,82.125,81.18,84.015,2025-12-11T00:00:00-05:00,81.18,SL hit,-1.0,loss
ARKK,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,80.63,79.36,83.17,2025-12-26T00:00:00-05:00,79.36,SL hit,-1.0,loss
ARKK,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,79.6,76.93,84.94,2026-01-09T00:00:00-05:00,80.315,time stop win,0.2678,win
ARKK,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,81.35,77.27,89.51,2026-01-12T00:00:00-05:00,82.52,time stop win,0.2868,win
ARKK,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,81.74,79.6,86.02,2026-01-13T00:00:00-05:00,83.215,time stop win,0.6893,win
ARKK,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,82.85,79.66,89.23,2026-01-20T00:00:00-05:00,79.66,SL hit,-1.0,loss
ARKK,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,83.0,80.925,87.15,2026-01-20T00:00:00-05:00,80.925,SL hit,-1.0,loss
ARKK,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,82.09,78.345,89.58,2026-01-29T00:00:00-05:00,78.345,SL hit,-1.0,loss
