symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VUG,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,477.24,470.43,490.86,2025-10-06T00:00:00-04:00,484.995,time stop win,1.1388,win
VUG,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,484.34,476.29,500.44,2025-10-08T00:00:00-04:00,487.0,time stop win,0.3304,win
VUG,TwoDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,484.13,476.29,499.81,2025-10-09T00:00:00-04:00,486.085,time stop win,0.2494,win
VUG,TwoDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,485.57,479.84,497.03,2025-10-10T00:00:00-04:00,479.84,SL hit,-1.0,loss
VUG,TwoDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,487.03,481.14,498.81,2025-10-10T00:00:00-04:00,481.14,SL hit,-1.0,loss
VUG,TwoDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,484.425,473.04,507.195,2025-10-27T00:00:00-04:00,498.36,time stop win,1.224,win
VUG,TwoDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,495.74,476.88,533.46,2025-10-31T00:00:00-04:00,499.3,time stop win,0.1888,win
VUG,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,501.445,480.985,542.365,2025-11-03T00:00:00-05:00,501.525,time stop win,0.0039,win
VUG,TwoDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,504.655,488.595,536.775,2025-11-04T00:00:00-05:00,492.82,time stop loss,-0.7369,loss
VUG,TwoDayBreakout_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,500.3,495.61,509.68,2025-11-04T00:00:00-05:00,495.61,SL hit,-1.0,loss
VUG,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,493.29,475.895,528.08,2025-11-14T00:00:00-05:00,475.895,SL hit,-1.0,loss
VUG,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,487.445,463.0,536.335,2025-12-03T00:00:00-05:00,491.7,time stop win,0.1741,win
VUG,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,489.25,474.235,519.28,2025-12-04T00:00:00-05:00,492.13,time stop win,0.1918,win
VUG,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,486.97,476.18,508.55,2025-12-05T00:00:00-05:00,494.31,time stop win,0.6803,win
VUG,TwoDayBreakout_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,490.01,485.7,498.63,2025-12-09T00:00:00-05:00,492.945,time stop win,0.681,win
VUG,TwoDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,495.105,488.925,507.465,2025-12-11T00:00:00-05:00,488.925,SL hit,-1.0,loss
VUG,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,491.4,475.5,523.2,2025-12-29T00:00:00-05:00,492.45,time stop win,0.066,win
VUG,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,490.29,480.395,510.08,2025-12-30T00:00:00-05:00,491.55,time stop win,0.1273,win
VUG,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,493.05,484.375,510.4,2025-12-31T00:00:00-05:00,487.98,time stop loss,-0.5844,loss
VUG,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,495.52,489.545,507.47,2025-12-31T00:00:00-05:00,489.545,SL hit,-1.0,loss
VUG,TwoDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,491.215,487.45,498.745,2026-01-08T00:00:00-05:00,487.45,SL hit,-1.0,loss
VUG,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,491.95,486.375,503.1,2026-01-14T00:00:00-05:00,486.375,SL hit,-1.0,loss
VUG,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,481.45,471.49,501.37,2026-01-29T00:00:00-05:00,485.29,time stop win,0.3855,win
VUG,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,483.91,471.49,508.75,2026-01-30T00:00:00-05:00,481.75,time stop loss,-0.1739,loss
VUG,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,488.82,478.94,508.58,2026-01-29T00:00:00-05:00,478.94,SL hit,-1.0,loss
VUG,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,491.51,480.8,512.93,2026-01-29T00:00:00-05:00,480.8,SL hit,-1.0,loss
