symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
ITA,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,210.82,204.205,224.05,2025-11-14T00:00:00-05:00,204.205,SL hit,-1.0,loss
ITA,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,202.99,195.945,217.08,2025-12-03T00:00:00-05:00,201.695,time stop loss,-0.1838,loss
ITA,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,203.66,197.66,215.66,2025-12-04T00:00:00-05:00,204.72,time stop win,0.1767,win
ITA,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,202.77,199.69,208.93,2025-12-01T00:00:00-05:00,199.69,SL hit,-1.0,loss
ITA,TwoDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,204.13,199.86,212.67,2025-12-11T00:00:00-05:00,208.26,time stop win,0.9672,win
ITA,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,209.71,201.96,225.21,2025-12-18T00:00:00-05:00,208.32,time stop loss,-0.1794,loss
ITA,TwoDayBreakout_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,210.24,201.96,226.8,2025-12-19T00:00:00-05:00,214.09,time stop win,0.465,win
ITA,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,215.91,204.64,238.45,2025-12-29T00:00:00-05:00,216.84,time stop win,0.0825,win
ITA,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,219.47,207.18,244.05,2025-12-30T00:00:00-05:00,216.22,time stop loss,-0.2644,loss
ITA,TwoDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,219.91,209.88,239.97,2025-12-31T00:00:00-05:00,214.61,time stop loss,-0.5284,loss
ITA,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,224.46,214.61,244.16,2026-01-09T00:00:00-05:00,232.89,time stop win,0.8558,win
ITA,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,227.465,213.62,255.155,2026-01-12T00:00:00-05:00,236.52,time stop win,0.654,win
ITA,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,230.445,213.62,264.095,2026-01-13T00:00:00-05:00,237.71,time stop win,0.4318,win
ITA,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,239.46,225.31,267.76,2026-01-20T00:00:00-05:00,237.86,time stop loss,-0.1131,loss
ITA,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,237.195,228.67,254.245,2026-01-21T00:00:00-05:00,239.995,time stop win,0.3284,win
ITA,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,242.77,235.02,258.27,2026-01-23T00:00:00-05:00,235.02,SL hit,-1.0,loss
ITA,TwoDayBreakout_D1,2026-01-16T00:00:00-05:00,2026-01-20T00:00:00-05:00,242.0,235.02,255.96,2026-01-23T00:00:00-05:00,235.02,SL hit,-1.0,loss
