symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
ARKK,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,77.98,70.45,93.04,2025-12-03T00:00:00-05:00,80.75,time stop win,0.3679,win
ARKK,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,79.175,74.08,89.365,2025-12-04T00:00:00-05:00,82.725,time stop win,0.6968,win
ARKK,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,77.85,74.75,84.05,2025-12-05T00:00:00-05:00,81.965,time stop win,1.3274,win
ARKK,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,80.775,77.12,88.085,2025-12-10T00:00:00-05:00,83.13,time stop win,0.6443,win
ARKK,TwoDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,82.32,78.06,90.84,2025-12-11T00:00:00-05:00,82.17,time stop loss,-0.0352,loss
ARKK,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,82.125,81.18,84.015,2025-12-11T00:00:00-05:00,81.18,SL hit,-1.0,loss
ARKK,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,80.63,78.455,84.98,2025-12-29T00:00:00-05:00,78.455,SL hit,-1.0,loss
ARKK,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,81.35,76.93,90.19,2026-01-12T00:00:00-05:00,82.52,time stop win,0.2647,win
ARKK,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,81.74,77.27,90.68,2026-01-13T00:00:00-05:00,83.215,time stop win,0.33,win
ARKK,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,82.85,79.66,89.23,2026-01-20T00:00:00-05:00,79.66,SL hit,-1.0,loss
ARKK,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,83.0,79.66,89.68,2026-01-20T00:00:00-05:00,79.66,SL hit,-1.0,loss
ARKK,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,82.09,78.345,89.58,2026-01-29T00:00:00-05:00,78.345,SL hit,-1.0,loss
