symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XPH,MeanReversion_D1,2025-11-03T00:00:00-05:00,2025-11-04T00:00:00-05:00,49.52,49.2,50.16,2025-11-05T00:00:00-05:00,49.2,SL hit,-1.0,loss
XPH,MeanReversion_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,48.6,48.5,48.8,2025-11-07T00:00:00-05:00,48.5,SL hit,-1.0,loss
XPH,MeanReversion_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,49.01,48.205,50.62,2025-11-11T00:00:00-05:00,50.62,TP hit,2.0,win
XPH,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,52.14,51.16,54.1,2025-11-25T00:00:00-05:00,54.1,TP hit,2.0,win
XPH,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,53.28,52.7,54.44,2025-12-05T00:00:00-05:00,54.44,TP hit,2.0,win
XPH,MeanReversion_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,56.705,56.14,57.835,2025-12-16T00:00:00-05:00,56.14,SL hit,-1.0,loss
XPH,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,55.87,55.5,56.61,2025-12-17T00:00:00-05:00,55.5,SL hit,-1.0,loss
XPH,MeanReversion_D1,2025-12-18T00:00:00-05:00,2025-12-19T00:00:00-05:00,55.99,55.26,57.45,2025-12-26T00:00:00-05:00,57.2,time stop win,1.6575,win
XPH,MeanReversion_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,54.77,54.68,54.95,2026-01-05T00:00:00-05:00,54.68,SL hit,-1.0,loss
XPH,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,56.195,56.17,56.245,2026-01-26T00:00:00-05:00,56.17,SL hit,-1.0,loss
