symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XOP,TwoDayBreakout_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,134.66,128.26,147.46,2025-09-30T00:00:00-04:00,132.18,time stop loss,-0.3875,loss
XOP,TwoDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,136.19,134.37,139.83,2025-09-29T00:00:00-04:00,134.37,SL hit,-1.0,loss
XOP,TwoDayBreakout_D1,2025-10-23T00:00:00-04:00,2025-10-24T00:00:00-04:00,130.135,122.87,144.665,2025-10-30T00:00:00-04:00,125.86,time stop loss,-0.5884,loss
XOP,TwoDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,130.625,124.685,142.505,2025-11-14T00:00:00-05:00,134.01,time stop win,0.5699,win
XOP,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,132.515,126.15,145.245,2025-11-17T00:00:00-05:00,131.385,time stop loss,-0.1775,loss
XOP,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,133.085,126.47,146.315,2025-11-18T00:00:00-05:00,133.55,time stop win,0.0703,win
XOP,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,132.08,127.14,141.96,2025-12-04T00:00:00-05:00,136.48,time stop win,0.8907,win
XOP,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,134.03,127.96,146.17,2025-12-05T00:00:00-05:00,136.67,time stop win,0.4349,win
XOP,TwoDayBreakout_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,134.77,130.79,142.73,2025-12-08T00:00:00-05:00,134.16,time stop loss,-0.1533,loss
XOP,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,136.265,132.37,144.055,2025-12-10T00:00:00-05:00,135.18,time stop loss,-0.2786,loss
XOP,TwoDayBreakout_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,127.45,124.2,133.95,2026-01-06T00:00:00-05:00,125.56,time stop loss,-0.5815,loss
XOP,TwoDayBreakout_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,127.15,124.2,133.05,2026-01-07T00:00:00-05:00,124.2,SL hit,-1.0,loss
XOP,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,131.26,125.67,142.44,2026-01-05T00:00:00-05:00,125.67,SL hit,-1.0,loss
XOP,TwoDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,129.365,123.26,141.575,2026-01-15T00:00:00-05:00,130.29,time stop win,0.1515,win
XOP,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,129.85,126.665,136.22,2026-01-21T00:00:00-05:00,134.62,time stop win,1.4976,win
XOP,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,130.2,126.665,137.27,2026-01-22T00:00:00-05:00,134.56,time stop win,1.2334,win
XOP,TwoDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,134.8,129.105,146.19,2026-01-28T00:00:00-05:00,137.06,time stop win,0.3968,win
XOP,TwoDayBreakout_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,140.445,133.585,154.165,2026-01-30T00:00:00-05:00,140.25,time stop loss,-0.0284,loss
XOP,TwoDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,138.78,134.175,147.99,2026-01-30T00:00:00-05:00,140.25,time stop win,0.3192,win
