symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
ITA,MeanReversion_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,209.0,208.66,209.68,2025-11-06T00:00:00-05:00,208.66,SL hit,-1.0,loss
ITA,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,202.475,201.28,204.865,2025-11-20T00:00:00-05:00,201.28,SL hit,-1.0,loss
ITA,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,199.21,198.695,200.24,2025-11-21T00:00:00-05:00,198.695,SL hit,-1.0,loss
ITA,MeanReversion_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,198.305,195.945,203.025,2025-11-26T00:00:00-05:00,203.025,TP hit,2.0,win
ITA,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,201.305,199.19,205.535,2025-12-08T00:00:00-05:00,204.34,time stop win,1.435,win
ITA,MeanReversion_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,203.075,200.8,207.625,2025-12-11T00:00:00-05:00,207.625,TP hit,2.0,win
ITA,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,202.9,202.48,203.74,2025-12-10T00:00:00-05:00,202.48,SL hit,-1.0,loss
ITA,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,207.25,207.0,207.75,2025-12-17T00:00:00-05:00,207.0,SL hit,-1.0,loss
ITA,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,207.18,204.64,212.26,2025-12-19T00:00:00-05:00,212.26,TP hit,2.0,win
ITA,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,217.57,216.84,219.03,2025-12-30T00:00:00-05:00,216.84,SL hit,-1.0,loss
ITA,MeanReversion_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,232.7,226.22,245.66,2026-01-08T00:00:00-05:00,226.22,SL hit,-1.0,loss
ITA,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,238.945,237.48,241.875,2026-01-21T00:00:00-05:00,237.48,SL hit,-1.0,loss
ITA,MeanReversion_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,237.135,235.39,240.625,2026-01-23T00:00:00-05:00,235.39,SL hit,-1.0,loss
ITA,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,234.36,234.03,235.02,2026-01-26T00:00:00-05:00,234.03,SL hit,-1.0,loss
ITA,MeanReversion_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,234.02,232.71,236.64,2026-01-27T00:00:00-05:00,236.64,TP hit,2.0,win
