symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLK,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,279.215,276.5,284.645,2025-11-20T00:00:00-05:00,276.5,SL hit,-1.0,loss
XLK,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,272.445,271.53,274.275,2025-11-21T00:00:00-05:00,271.53,SL hit,-1.0,loss
XLK,MeanReversion_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,147.415,145.82,150.605,2025-12-11T00:00:00-05:00,145.82,SL hit,-1.0,loss
XLK,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,144.575,143.26,147.205,2025-12-15T00:00:00-05:00,143.26,SL hit,-1.0,loss
XLK,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,141.825,139.33,146.815,2025-12-24T00:00:00-05:00,146.34,time stop win,1.8096,win
XLK,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,145.825,145.07,147.335,2025-12-31T00:00:00-05:00,145.07,SL hit,-1.0,loss
XLK,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,145.63,143.91,149.07,2026-01-02T00:00:00-05:00,143.91,SL hit,-1.0,loss
XLK,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,144.58,143.5,146.74,2026-01-12T00:00:00-05:00,146.74,TP hit,2.0,win
XLK,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,147.01,143.32,154.39,2026-01-20T00:00:00-05:00,143.32,SL hit,-1.0,loss
XLK,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,142.575,141.62,144.485,2026-01-21T00:00:00-05:00,144.485,TP hit,2.0,win
XLK,MeanReversion_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,146.035,143.29,151.525,2026-01-30T00:00:00-05:00,143.29,SL hit,-1.0,loss
