symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLF,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,53.7,53.245,54.61,2025-10-02T00:00:00-04:00,53.245,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,53.405,53.065,54.085,2025-10-09T00:00:00-04:00,53.32,time stop loss,-0.25,loss
XLF,MeanReversion_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,53.625,53.345,54.185,2025-10-09T00:00:00-04:00,53.345,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,53.46,53.195,53.99,2025-10-10T00:00:00-04:00,53.195,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,52.56,52.165,53.35,2025-10-14T00:00:00-04:00,53.35,TP hit,2.0,win
XLF,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,51.93,51.545,52.7,2025-10-20T00:00:00-04:00,52.7,TP hit,2.0,win
XLF,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,52.58,52.12,53.5,2025-10-29T00:00:00-04:00,52.12,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,52.045,51.87,52.395,2025-10-30T00:00:00-04:00,52.395,TP hit,2.0,win
XLF,MeanReversion_D1,2025-11-14T00:00:00-05:00,2025-11-17T00:00:00-05:00,52.48,52.275,52.89,2025-11-17T00:00:00-05:00,52.275,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-11-17T00:00:00-05:00,2025-11-18T00:00:00-05:00,51.265,51.26,51.275,2025-11-18T00:00:00-05:00,51.26,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,51.455,51.08,52.205,2025-11-25T00:00:00-05:00,52.205,TP hit,2.0,win
XLF,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,53.005,52.85,53.315,2025-12-02T00:00:00-05:00,52.85,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,53.275,53.25,53.325,2025-12-10T00:00:00-05:00,53.25,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,54.795,54.49,55.405,2025-12-18T00:00:00-05:00,54.49,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-12-18T00:00:00-05:00,2025-12-19T00:00:00-05:00,54.59,54.355,55.06,2025-12-22T00:00:00-05:00,55.06,TP hit,2.0,win
XLF,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,55.375,55.265,55.595,2025-12-30T00:00:00-05:00,55.265,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,55.22,55.145,55.37,2025-12-31T00:00:00-05:00,55.145,SL hit,-1.0,loss
XLF,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,54.86,54.75,55.08,2026-01-02T00:00:00-05:00,54.75,SL hit,-1.0,loss
XLF,MeanReversion_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,55.155,54.845,55.775,2026-01-13T00:00:00-05:00,54.845,SL hit,-1.0,loss
XLF,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,53.37,53.105,53.9,2026-01-22T00:00:00-05:00,53.9,TP hit,2.0,win
XLF,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,53.095,52.88,53.525,2026-01-26T00:00:00-05:00,53.525,TP hit,2.0,win
XLF,MeanReversion_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,52.935,52.84,53.125,2026-01-28T00:00:00-05:00,52.84,SL hit,-1.0,loss
