symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XAR,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,229.37,224.01,240.09,2025-10-02T00:00:00-04:00,238.225,time stop win,1.6521,win
XAR,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,245.94,244.88,248.06,2025-10-10T00:00:00-04:00,244.88,SL hit,-1.0,loss
XAR,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,243.43,239.09,252.11,2025-10-14T00:00:00-04:00,239.09,SL hit,-1.0,loss
XAR,MeanReversion_D1,2025-10-17T00:00:00-04:00,2025-10-20T00:00:00-04:00,239.14,233.41,250.6,2025-10-24T00:00:00-04:00,249.77,time stop win,1.8551,win
XAR,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,244.625,235.18,263.515,2025-10-29T00:00:00-04:00,249.81,time stop win,0.549,win
XAR,MeanReversion_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,250.93,249.175,254.44,2025-10-31T00:00:00-04:00,249.175,SL hit,-1.0,loss
XAR,MeanReversion_D1,2025-10-31T00:00:00-04:00,2025-11-03T00:00:00-05:00,249.31,246.8,254.33,2025-11-04T00:00:00-05:00,246.8,SL hit,-1.0,loss
XAR,MeanReversion_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,237.65,237.59,237.77,2025-11-06T00:00:00-05:00,237.59,SL hit,-1.0,loss
XAR,MeanReversion_D1,2025-11-14T00:00:00-05:00,2025-11-17T00:00:00-05:00,229.02,224.99,237.08,2025-11-18T00:00:00-05:00,224.99,SL hit,-1.0,loss
XAR,MeanReversion_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,223.34,217.905,234.21,2025-12-01T00:00:00-05:00,225.49,time stop win,0.3956,win
XAR,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,226.225,225.4,227.875,2025-12-03T00:00:00-05:00,227.875,TP hit,2.0,win
XAR,MeanReversion_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,233.02,228.83,241.4,2025-12-12T00:00:00-05:00,236.42,time stop win,0.8115,win
XAR,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,232.65,231.49,234.97,2025-12-17T00:00:00-05:00,231.49,SL hit,-1.0,loss
XAR,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,233.09,228.4,242.47,2025-12-22T00:00:00-05:00,242.47,TP hit,2.0,win
XAR,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,246.015,240.75,256.545,2026-01-05T00:00:00-05:00,256.545,TP hit,2.0,win
XAR,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,284.885,283.95,286.755,2026-01-21T00:00:00-05:00,283.95,SL hit,-1.0,loss
XAR,MeanReversion_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,281.375,279.265,285.595,2026-01-29T00:00:00-05:00,279.265,SL hit,-1.0,loss
XAR,MeanReversion_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,276.77,276.39,277.53,2026-01-30T00:00:00-05:00,276.39,SL hit,-1.0,loss
