symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
RSP,PrevDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,187.24,185.79,190.14,2025-11-06T00:00:00-05:00,185.79,SL hit,-1.0,loss
RSP,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,188.93,185.375,196.04,2025-11-17T00:00:00-05:00,185.375,SL hit,-1.0,loss
RSP,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,190.09,187.06,196.15,2025-11-14T00:00:00-05:00,187.06,SL hit,-1.0,loss
RSP,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,189.4,185.29,197.62,2025-12-03T00:00:00-05:00,191.49,time stop win,0.5085,win
RSP,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,190.89,186.895,198.88,2025-12-04T00:00:00-05:00,191.57,time stop win,0.1702,win
RSP,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,190.315,189.33,192.285,2025-12-05T00:00:00-05:00,192.285,TP hit,2.0,win
RSP,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,191.47,189.54,195.33,2025-12-10T00:00:00-05:00,193.115,time stop win,0.8523,win
RSP,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,193.02,190.42,198.22,2025-12-17T00:00:00-05:00,191.77,time stop loss,-0.4808,loss
RSP,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,195.34,190.61,204.8,2025-12-18T00:00:00-05:00,192.205,time stop loss,-0.6628,loss
RSP,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,193.45,192.195,195.96,2025-12-30T00:00:00-05:00,193.22,time stop loss,-0.1833,loss
RSP,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,193.845,192.725,196.085,2025-12-31T00:00:00-05:00,192.725,SL hit,-1.0,loss
RSP,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,194.43,191.08,201.13,2026-01-12T00:00:00-05:00,197.735,time stop win,0.9866,win
RSP,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,197.11,192.835,205.66,2026-01-13T00:00:00-05:00,197.77,time stop win,0.1544,win
RSP,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,197.095,194.26,202.765,2026-01-16T00:00:00-05:00,199.0,time stop win,0.672,win
RSP,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,199.315,197.12,203.705,2026-01-20T00:00:00-05:00,197.12,SL hit,-1.0,loss
RSP,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,199.3,197.44,203.02,2026-01-20T00:00:00-05:00,197.44,SL hit,-1.0,loss
RSP,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,200.29,195.81,209.25,2026-01-28T00:00:00-05:00,198.3,time stop loss,-0.4442,loss
