symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
EFA,PrevDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,96.345,95.675,97.685,2025-11-13T00:00:00-05:00,95.675,SL hit,-1.0,loss
EFA,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,94.255,92.355,98.055,2025-12-03T00:00:00-05:00,95.56,time stop win,0.6868,win
EFA,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,94.81,92.885,98.66,2025-12-04T00:00:00-05:00,95.81,time stop win,0.5195,win
EFA,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,94.925,94.25,96.275,2025-12-05T00:00:00-05:00,95.8,time stop win,1.2963,win
EFA,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,96.07,94.755,98.7,2025-12-10T00:00:00-05:00,96.46,time stop win,0.2966,win
EFA,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,96.1,95.105,98.09,2025-12-11T00:00:00-05:00,97.02,time stop win,0.9246,win
EFA,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,96.715,95.365,99.415,2025-12-16T00:00:00-05:00,95.365,SL hit,-1.0,loss
EFA,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,97.05,95.495,100.16,2025-12-16T00:00:00-05:00,95.495,SL hit,-1.0,loss
EFA,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,95.47,94.58,97.25,2025-12-29T00:00:00-05:00,96.305,time stop win,0.9382,win
EFA,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,96.315,95.41,98.125,2025-12-31T00:00:00-05:00,96.01,time stop loss,-0.337,loss
EFA,PrevDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,96.29,96.19,96.49,2025-12-29T00:00:00-05:00,96.19,SL hit,-1.0,loss
EFA,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,97.24,95.93,99.86,2026-01-09T00:00:00-05:00,98.805,time stop win,1.1947,win
EFA,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,98.3,96.52,101.86,2026-01-12T00:00:00-05:00,99.415,time stop win,0.6264,win
EFA,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,98.14,97.23,99.96,2026-01-13T00:00:00-05:00,98.86,time stop win,0.7912,win
EFA,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,99.155,97.53,102.405,2026-01-16T00:00:00-05:00,99.53,time stop win,0.2308,win
EFA,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,99.23,98.33,101.03,2026-01-20T00:00:00-05:00,98.33,SL hit,-1.0,loss
EFA,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,99.585,98.67,101.415,2026-01-20T00:00:00-05:00,98.67,SL hit,-1.0,loss
EFA,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,99.38,97.88,102.38,2026-01-28T00:00:00-05:00,101.005,time stop win,1.0833,win
EFA,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,99.18,97.9,101.74,2026-01-27T00:00:00-05:00,101.74,TP hit,2.0,win
EFA,PrevDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,100.56,99.18,103.32,2026-01-30T00:00:00-05:00,100.72,time stop win,0.1159,win
EFA,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,101.44,99.01,106.3,2026-01-30T00:00:00-05:00,100.72,time stop loss,-0.2963,loss
EFA,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,101.185,100.47,102.615,2026-01-30T00:00:00-05:00,100.47,SL hit,-1.0,loss
EFA,PrevDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,101.34,100.58,102.86,2026-01-30T00:00:00-05:00,100.58,SL hit,-1.0,loss
