symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IGV,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,113.89,112.93,115.81,2025-09-29T00:00:00-04:00,115.81,TP hit,2.0,win
IGV,MeanReversion_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,114.64,114.04,115.84,2025-10-02T00:00:00-04:00,115.84,TP hit,2.0,win
IGV,MeanReversion_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,115.83,114.6,118.29,2025-10-07T00:00:00-04:00,114.6,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,115.035,113.15,118.805,2025-10-10T00:00:00-04:00,113.15,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,113.5,112.04,116.42,2025-10-14T00:00:00-04:00,112.04,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,114.68,113.75,116.54,2025-11-04T00:00:00-05:00,113.75,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,111.985,111.62,112.715,2025-11-05T00:00:00-05:00,111.62,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,104.125,103.49,105.395,2025-11-19T00:00:00-05:00,103.49,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,100.74,100.65,100.92,2025-11-21T00:00:00-05:00,100.65,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,107.825,107.39,108.695,2025-12-15T00:00:00-05:00,107.39,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,106.0,104.675,108.65,2025-12-22T00:00:00-05:00,108.65,TP hit,2.0,win
IGV,MeanReversion_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,107.865,107.36,108.875,2025-12-29T00:00:00-05:00,107.36,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,107.16,107.07,107.34,2025-12-30T00:00:00-05:00,107.07,SL hit,-1.0,loss
IGV,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,106.395,105.7,107.785,2026-01-02T00:00:00-05:00,105.7,SL hit,-1.0,loss
IGV,MeanReversion_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,103.38,101.935,106.27,2026-01-07T00:00:00-05:00,106.27,TP hit,2.0,win
IGV,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,104.705,104.305,105.505,2026-01-09T00:00:00-05:00,104.305,SL hit,-1.0,loss
IGV,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,101.365,100.095,103.905,2026-01-15T00:00:00-05:00,100.095,SL hit,-1.0,loss
IGV,MeanReversion_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,99.99,99.475,101.02,2026-01-16T00:00:00-05:00,99.475,SL hit,-1.0,loss
IGV,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,95.95,95.795,96.26,2026-01-21T00:00:00-05:00,95.795,SL hit,-1.0,loss
IGV,MeanReversion_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,96.455,94.23,100.905,2026-01-28T00:00:00-05:00,97.03,time stop win,0.2584,win
IGV,MeanReversion_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,98.23,97.425,99.84,2026-01-28T00:00:00-05:00,97.425,SL hit,-1.0,loss
IGV,MeanReversion_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,92.065,90.65,94.895,2026-01-30T00:00:00-05:00,90.65,SL hit,-1.0,loss
