symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLE,TwoDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,89.735,87.135,94.935,2025-11-14T00:00:00-05:00,92.01,time stop win,0.875,win
XLE,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,90.89,87.56,97.55,2025-11-17T00:00:00-05:00,90.32,time stop loss,-0.1712,loss
XLE,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,90.98,88.345,96.25,2025-11-18T00:00:00-05:00,91.03,time stop win,0.019,win
XLE,TwoDayBreakout_D1,2025-11-14T00:00:00-05:00,2025-11-17T00:00:00-05:00,91.93,90.075,95.64,2025-11-17T00:00:00-05:00,90.075,SL hit,-1.0,loss
XLE,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,90.585,87.88,95.995,2025-12-05T00:00:00-05:00,87.88,SL hit,-1.0,loss
XLE,TwoDayBreakout_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,91.115,88.545,96.255,2025-12-05T00:00:00-05:00,88.545,SL hit,-1.0,loss
XLE,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,91.77,89.705,95.9,2025-12-05T00:00:00-05:00,89.705,SL hit,-1.0,loss
XLE,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,45.9,45.28,47.14,2025-12-15T00:00:00-05:00,45.28,SL hit,-1.0,loss
XLE,TwoDayBreakout_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,44.825,43.995,46.485,2026-01-05T00:00:00-05:00,46.485,TP hit,2.0,win
XLE,TwoDayBreakout_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,44.965,43.995,46.905,2026-01-05T00:00:00-05:00,46.905,TP hit,2.0,win
XLE,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,47.255,44.575,52.615,2026-01-09T00:00:00-05:00,46.66,time stop loss,-0.222,loss
XLE,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,46.98,44.49,51.96,2026-01-12T00:00:00-05:00,46.33,time stop loss,-0.261,loss
XLE,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,47.235,46.105,49.495,2026-01-21T00:00:00-05:00,48.76,time stop win,1.3496,win
XLE,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,47.62,46.105,50.65,2026-01-22T00:00:00-05:00,48.91,time stop win,0.8515,win
XLE,TwoDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,48.625,47.5,50.875,2026-01-28T00:00:00-05:00,50.03,time stop win,1.2489,win
XLE,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,49.865,48.32,52.955,2026-01-30T00:00:00-05:00,51.02,time stop win,0.7476,win
XLE,TwoDayBreakout_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,51.105,48.95,55.415,2026-01-30T00:00:00-05:00,51.02,time stop loss,-0.0394,loss
XLE,TwoDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,50.38,49.175,52.79,2026-01-30T00:00:00-05:00,51.02,time stop win,0.5311,win
