symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWF,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,476.47,465.61,498.19,2025-12-29T00:00:00-05:00,477.73,time stop win,0.116,win
IWF,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,476.045,469.445,489.245,2025-12-30T00:00:00-05:00,476.92,time stop win,0.1326,win
IWF,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,479.23,474.91,487.87,2025-12-31T00:00:00-05:00,474.91,SL hit,-1.0,loss
IWF,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,480.92,475.63,491.5,2025-12-31T00:00:00-05:00,475.63,SL hit,-1.0,loss
IWF,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,475.89,472.97,481.73,2026-01-08T00:00:00-05:00,472.97,SL hit,-1.0,loss
IWF,PrevDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,476.23,472.51,483.67,2026-01-08T00:00:00-05:00,472.51,SL hit,-1.0,loss
IWF,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,476.735,472.07,486.065,2026-01-14T00:00:00-05:00,472.07,SL hit,-1.0,loss
IWF,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,465.895,457.26,483.165,2026-01-29T00:00:00-05:00,469.57,time stop win,0.4256,win
IWF,PrevDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,468.5,464.38,476.74,2026-01-29T00:00:00-05:00,464.38,SL hit,-1.0,loss
IWF,PrevDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,473.575,465.01,490.705,2026-01-29T00:00:00-05:00,465.01,SL hit,-1.0,loss
IWF,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,475.49,468.43,489.61,2026-01-29T00:00:00-05:00,468.43,SL hit,-1.0,loss
